sep=,
Name,Phone,Web,Rating
"Frieden, Richard A DDS",(323) 655-3854,http://friedenrichardadds.localsearch.com,5
West Los Angeles Dentistry,(310) 207-4900,http://westlosangelesdentistry.localsearch.com,5
"Dr. Frank Laaly, DDS",(323) 488-3366,https://www.laimplants.com,5
"William Faulkner, DDS",(323) 292-0231,https://www.drfaulknerdds.com/contact-us,5
"Philline Parreno-Banaag, DDS",(323) 739-0215,https://www.perfectlybrightsmiles.com,5
Mid-City Dental,(323) 634-9333,http://midcitydentaldds.com,4
Top Implant Cen Ter,(213) 382-4336,http://topimplantcenter.localsearch.com,5
"Jonathan M. Engel, DDS",(323) 934-3341,https://www.socaldentalhealth.com,5
"Tracy G Golden, Dmd",(310) 209-7572,https://drtracygolden.com,5
"Wilshire Smile Studio - Los Angeles Dentist, Cosmetic and Emergency Dentistry",(323) 336-8478,http://wilshiresmilestudiolosangelesdentistcosmeticandemergencydentistry.localsearch.com,5
"Daryl Cranon, D.D.S.",(323) 937-2838,http://darylcranondds.localsearch.com,5
St. George Dental Clinic,(323) 469-8816,http://mytime.com/express_checkout/5890-5636?utm_campaign=cta_api&utm_medium=affiliate&utm_source=fb,5
"Robert T. Kimura, DMD, Inc.",(310) 207-6111,https://www.drkimura.com,5
Premier Dental Clinic,(323) 255-4600,http://www.thepremierdental.com,N/A
Downtown Dental,(213) 863-9464,http://downtowndental1894009.localsearch.com,2
"Thien Nguyen, DDS",(213) 680-8770,http://thiennguyenddsca.localsearch.com,N/A
"Edward Lew, DMD",(213) 808-1790,http://cscla.org,N/A
"Edward Lopez, DDS",(323) 221-5931,http://edwardlopezdds.localsearch.com,N/A
"Jon Bauer and Mitchell Galper, DDS",(323) 933-1990,http://mitchgalperdds.com,N/A
Downs Dental Office,(310) 641-6369,http://www.downsdental.com,N/A
Westwood Dental Care,(310) 208-8551,http://www.westwooddentalartscenter.com,5
Samet Dental Corp,(323) 759-1523,http://yellowpages.com/los-angeles-ca/mip/samet-dental-corp-470795077,5
"Devang M Gandhi, DDS",(323) 750-2082,http://drdevangmgandhi.placeweb.site,1
"Dr. Robert B Tamaki, DDS",(310) 641-3414,http://www.drroberttamaki.com,N/A
Vernon Family Dental,(323) 234-4889,https://www.smilefixer.net,N/A
Kevin Barrett DDS,(310) 820-4952,http://www.kevinbarrettdds.com,N/A
Children & Adult's Dental Office,(323) 753-0030,http://childrenadultsdentaloffice.localsearch.com,N/A
"Lim, George D., DMD",(323) 951-0814,https://www.facebook.com/georgelimdmd,N/A
"Mohammed Navid Mapara, DMD",(310) 836-7200,http://mohammednavidmaparadmd.localsearch.com,N/A
Michael Delmont,(310) 652-7742,http://michaeldelmont.localsearch.com,N/A
Aspen Dental,N/A,N/A,4
Lancaster Dental Care Assoc,N/A,N/A,5
"Frieden, Richard A DDS",N/A,N/A,5
West LA Dental,(310) 820-7010,http://www.westladentalcare.com,N/A
Crenshaw Professional Dental Center,(323) 731-0801,http://www.crenshawdental.com,2
Kids Dental Kare,(323) 461-9942,http://kidsdentalkare.com,3
Jose T. Sauz D.d.s,(213) 483-8754,http://josetsauzdds.localsearch.com,N/A
"Dr. Fernando F Barreto, DDS",(213) 250-3767,http://drfernandofbarretodds.localsearch.com,N/A
Edward Lopez,(323) 583-8896,http://edwardlopezca.localsearch.com,N/A
Jabeen Mah Khan DDS Inc,(323) 753-0030,http://jabeenmahkhanddsinc.localsearch.com,N/A
"Cheryl Diane Bingham, DDS",(323) 564-7504,http://bingham-cheryl-d-dds.hub.biz,N/A
Professional Dental Care,(213) 484-2919,http://www.smile1.org,N/A
"John Kim, Other",(323) 846-8443,https://www.mychildrendentalworld.com,N/A
"Randy L Chen, DDS",(323) 227-4615,https://mosaicfamilydental.com,N/A
Dr. Naghmeh Navizadeh,(310) 446-4410,http://www.pearlysmilela.com,N/A
Dr. Ernest Nagamatsu,(323) 660-8088,http://drernestnagamatsu.localsearch.com,4
Best Family Dentist,(323) 254-2500,http://mapquest.com/us/california/dentists-los-angeles/best...,1
"Dr. Bonnie K. Krystal, DDS",(213) 484-9063,http://drbonniekkrystaldds.localsearch.com,N/A
Glenhurst Dental Group,(323) 662-7681,http://glenhurstdentalgroup.localsearch.com,N/A
"Myriam M Soler, DDS",(323) 662-3179,http://solerdental.com,N/A
"Cobb, Rodney L, DDS",(323) 294-5149,http://cobbrodneyldds.localsearch.com,N/A
Smiles R US Dental Care,(310) 574-8574,http://smilesrusdentalcare.localsearch.com,N/A
"Mkrtchyan, Silva DDS",(323) 663-3122,http://drsilvamkrtchyan.com,5
Harbor Dental Care,(323) 939-9898,https://www.myharbordentalcare.com,N/A
"Gonzales, Pedro L., DMD",(213) 481-1155,http://www.larootcanaldmd.com/contact,N/A
Joan Otomo-Corgel DDS,(213) 481-0664,http://joanotomocorgeldds.localsearch.com,N/A
"Lau, Calvin S, DDS",(213) 481-1100,http://laucalvinsdds.localsearch.com,N/A
Kings Family Dental,(213) 383-7878,http://kingsfamilydental.localsearch.com,N/A
"Heung Jo Oh, DDS",(213) 382-8205,http://heungjoohdds.localsearch.com,N/A
"Bum Shik Choi, DDS",(213) 381-1112,http://bumshikchoidds.localsearch.com,N/A
"Stanley Selwyn Keys, DDS",(310) 275-4887,http://yellowpages.com/los-angeles-ca/mip/stanley-selwyn-keys-dds-2423223,N/A
"Soleiman, Bobby, DDS",(818) 389-7288,http://soleimanbobbydds475869341.localsearch.com,N/A
"Tsay, Rick C, DDS",(310) 820-6691,http://yellowpages.com/los-angeles-ca/mip/pacific-dermatology-skincare-center-1668691,N/A
Culver Marina Dental Group,(310) 945-2416,https://theculvermarinadentalgroup.com,5
"Bernard Koo, DDS",(213) 617-0136,http://bernardkoodds.localsearch.com,N/A
Harvard Plaza Dental,(213) 380-3016,http://yellowpages.com/los-angeles-ca/mip/bum-shik-choi-dds-6670859,N/A
"Black, James DDS",(323) 731-0801,http://blackjamesdds.localsearch.com,N/A
Park Jun DDS,(310) 338-9499,http://parkjunddsca.localsearch.com,N/A
"Paul B Palmer, DDS",(310) 915-9797,http://paulbpalmerdds.localsearch.com,N/A
"Ana Guevara, Other",(323) 634-9333,http://anaguevaraother.localsearch.com,N/A
City Dental Group,(323) 850-7007,http://3ddentalgroup.com,4
"Thomas H Shinmoto, DDS",(213) 617-2344,http://thomasshinmoto.com,N/A
"Bright Now! Dental & Orthodontics - Los Angeles, CA (Westchester)",(310) 846-0172,https://www.brightnow.com/dental-office/los-angeles-dentist/10720/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,N/A
"Dr. Adelaida A Guarin, DDS",(323) 225-1085,http://yellowpages.com/los-angeles-ca/mip/edward-lopez-dds-476066344,N/A
Newport Dental,(323) 660-8111,http://newportdental458144786.localsearch.com,1
"Hartanto Lawrence Justin, DDS",(323) 221-6090,http://yellowpages.com/los-angeles-ca/mip/edward-lopez-dds-476066344,N/A
"Efma Almario, DDS",(323) 644-2676,http://www.efmaalmariodentistry.com,N/A
Miracle Mile Comprehensive Dental Center,(323) 930-4600,http://www.miraclemiledentalcenter.com,N/A
Rotman Martin I DDS,(310) 843-0909,http://rotmanmartinidds.localsearch.com,N/A
"Davis Famili, DDS",(310) 477-7744,http://www.olympicsmiles.com,N/A
"Jay S. Grossman, DDS",(310) 820-0123,http://www.drjaydds.com,5
"Richard Simon Silvera, DDS",(310) 553-2828,http://www.drsilvera.com,N/A
"Dr. Sherri Scott, DDS",(310) 494-7273,http://drsherriscottdds.localsearch.com,N/A
Bright Now Dental,(323) 773-1000,http://www.brightnow.com,N/A
"Dr. David Vaysleyb, DDS",(310) 474-1800,http://vaysleyb.com,N/A
"Los Angeles Dental Arts: Theodore Burnett, DDS",(424) 266-8508,http://www.losangelesdentalarts.com,N/A
Mark I. Taira DDS,(310) 645-2448,http://www.drtaira.com,N/A
"Arturo A Ibarra, DDS",(323) 221-3165,N/A,N/A
"Mikio M Tochioka, DDS",(323) 268-9386,http://mikiomtochiokadds.localsearch.com,N/A
"Lisa Thi Nguyen, DDS",(213) 763-2510,http://yellowpages.com/los-angeles-ca/mip/john-kim-other-22215325,N/A
"Arnold Rifman, DDS",(323) 466-2937,https://www.arnoldrifman.com/contact-us,N/A
"Lance Arthur Sherman, DDS",(310) 670-1175,http://lancearthurshermandds.localsearch.com,N/A
Lagusay Templo Marissa,(213) 384-5902,http://drmarissalagusaytemplo.placeweb.site,N/A
"Dr. Hirenkumar H Patel, DDS",(323) 222-7198,http://drhirenkumarhpateldds.localsearch.com,N/A
"Gilbert L King, DDS",(323) 464-8677,http://gilbertlkingdds.localsearch.com,N/A
La Brea Family Dental,(323) 734-2284,http://labreadental.com,N/A
"Mehrdad Makhani, DDS",(323) 933-7744,http://www.happydentist.net,N/A
"Hans J Karge, DDS",(310) 649-5233,http://hansjkargedds.localsearch.com,N/A
"Dr. Silva A. Arejian, DDS",(213) 481-2080,https://www.smilesinlosangeles.com,5
Maria Pilar Bernardo DDS,(323) 660-2011,http://mariapilarbernardodds.localsearch.com,5
"Shervin M. Louie, DDS",(323) 461-9353,http://www.smileinla.com,5
Robbins Hila DMD Inc.,(310) 552-4864,http://lakidsdentist.com,5
Katerina Kleinova DDS,(323) 653-6672,http://www.californiasmilemaker.com,N/A
Beverly Drive Dental Care,(310) 277-7645,http://www.beverlydrivedentalcare.com,N/A
"William D Harrison, DDS",(310) 826-6535,http://www.harrisondds.com,N/A
"Sonia Khullar, DDS",(213) 389-2625,http://soniakhullardds.localsearch.com,N/A
"Isabelita V Vasquez, DDS",(323) 254-6108,http://yellowpages.com/los-angeles-ca/mip/best-family-dentist-478639094,N/A
Santa Clara Dental,(323) 294-9600,http://animaldentalclinic.com,N/A
"Val Verde Gonzalez, DMD",(310) 360-0767,http://yellowpages.com/los-angeles-ca/mip/michael-delmont-470046121,N/A
"Cynthia C Cheung, DDS",(310) 470-7200,https://www.cynthiadds.com/contact-us,N/A
"Afar, Bijan, DDS",(310) 824-2624,http://afarbijandds.localsearch.com,N/A
"Natalie, Khadavi, D.D.S.",(310) 482-3971,http://www.westsideladentist.com,5
"Pham, John, DDS",(213) 747-5542,http://pedcenter.org,N/A
"Gary H Salenger, DDS",(310) 826-8321,http://yellowpages.com/los-angeles-ca/mip/robert-t-kimura-dmd-inc-9882208,N/A
Gary Manukyan DDS,(323) 543-0043,http://garymanukyandds.localsearch.com,N/A
"Dr. Pegah Ghassemi, DDS",(310) 822-6066,http://drpegahghassemidds.localsearch.com,5
"Meir M Agaki, DDS",(310) 398-6161,http://frankeldentalgroup.com,5
Los Angeles Endoscopy Center,(213) 387-9000,https://www.lacenterendo.com/contact,5
"Bruce Edward King, DDS",(310) 391-0699,http://www.drbruceedwardking.com,5
"Christie R. Burnett, DDS",(310) 216-5754,https://www.smilewestchester.com,5
"Deepa Sreenivasan, DDS, MS",(310) 216-5754,https://www.smilewestchester.com,5
"Inna Sherr, DDS",(323) 850-5906,http://innasherrdds.localsearch.com,5
Implant Centers,(800) 947-2195,http://implantcenters.localsearch.com,5
Western Dental & Orthodontics,(310) 953-0593,https://www.westerndental.com/en-us/find-a-location/california/los-angeles/5373-w-centinela-ave,5
"Mark S Treystman, DDS",(323) 653-5484,http://markstreystmandds.localsearch.com,5
Super Kids Dental,(323) 980-9090,http://www.superkidsdental.net,3
River Dentistry,(213) 486-0006,http://riverdentistry.com,5
AltaMed Medical and Dental Group - Boyle Heights,(888) 499-9303,http://altamed.org,5
Leimert Dental,(323) 299-9642,http://www.leimertdental.com,5
"Suzanne Haeri, DDS",(310) 657-2200,https://suzannehaeridds.com,5
"Bill Dorfman, DDS",(310) 277-5678,https://www.billdorfmandds.com,5
"Elmassian, Joseph A, DDS",(213) 627-9700,http://www.josephaelmassiandds.com,5
Center,(213) 250-7738,http://www.smilefixer.com,5
"Dr. Soleyman Makabi, DDS",(213) 413-0120,http://drsoleymanmakabidds.localsearch.com,5
Valdez Family Dentistry,(323) 953-8762,http://www.valdezdentistry.com/contact,5
"William Hwang, DDS",(213) 365-2360,http://edreamdental.com,5
Mir Dental Corp,(323) 223-1517,http://mirdentalcorp.localsearch.com,5
Penn Dental Center,(213) 384-2288,http://penndentalcenter.localsearch.com,5
Geller,(323) 467-1472,http://www.gellerdentistry.com,5
Monterey Hills Dental,(323) 256-2680,http://www.montereyhillsdental.com,5
Smile La Dental,(323) 734-9333,http://yellowpages.com/los-angeles-ca/mip/smile-la-dental-511940507,5
"Grace O Serrano, DDS",(323) 258-4840,http://healthgrades.com/dentist/dr-grace-serrano-255j2,5
"Onugha Uka, Ndidi, DDS",(323) 298-7992,http://aplusdentistryla.com,5
"Robert Leo Jelicich, DDS",(323) 930-2386,http://yellowpages.com/los-angeles-ca/mip/jon-bauer-and-mitchell-galper-dds-3887814,5
Drjoven Fam Dentist,(323) 259-3118,http://dejoven.com,5
Anna Harmandarian,(323) 256-4116,http://annaharmandarian.localsearch.com,5
"Anna A Harmandarian, DDS",(323) 474-6212,http://www.drharmandarian.com,5
V & H Dental Studio,(323) 857-5525,N/A,5
Lindsay Costantino,(310) 475-0617,http://lindsaycostantino.localsearch.com,5
